Birth Country,Birthday 1,Birthday 2,Birthday 3,Birthday 4,Birthday 5,Birthday 6 ,Birthday 7,Birthday 8,Birthday 9,Birthday 10,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mexico,1980,1970,2002,2000,1998,2020,2008,,,,,,
El Salvador,1992,1998,2018,2007,,,,,,,,,
Mexico,1980,2004,2010,,,,,,,,,,
Mexico,1991,1984,1995,2017,,,,,,,,,
Honduras,1991,2012,2016,,,,,,,,,,
Guatemala,1998,,,,,,,,,,,,
Mexico,1980,2001,2011,2012,2013,2004,,,,,,,
Haiti,1992,1990,,,,,,,,,,,
Haiti,1987,1989,2014,,,,,,,,,,
Mexico,1967,,,,,,,,,,,,
El Salvador,1990,,,,,,,,,,,,
Honduras,1999,1999,2019,,,,,,,,,,
Honduras,1983,,,,,,,,,,,,
Honduras,1987,,,,,,,,,,,,
Honduras,2001,,,,,,,,,,,,
Honduras,1997,,,,,,,,,,,,
Guatemala,2000,,,,,,,,,,,,
Honduras,2000,,,,,,,,,,,,
Mexico,1986,2009,2010,2011,2017,,,,,,,,
Mexico,1975,2016,2009,2005,2013,,,,,,,,
Mexico,1980,2009,,,,,,,,,,,
Honduras,1975,1984,2014,2018,,,,,,,,,
Mexico,1991,1992,2018,2007,2010,2016,,,,,,,
Guatemala,1985,,,,,,,,,,,,
El Salvador,1994,2016,,,,,,,,,,,
Mexico,1998,2000,2021,2015,,,,,,,,,
Guatemala,1975,1975,2014,2009,,,,,,,,,
Honduras,1991,1994,2015,2015,2021,,,,,,,,
Mexico,1998,2020,,,,,,,,,,,
Mexico,1979,1994,2013,2016,,,,,,,,,
Honduras,1996,2019,,,,,,,,,,,
Mexico,1985,2009,2012,2007,,,,,,,,,
Honduras,1988,1994,2019,2019,2011,2017,,,,,,,
Honduras,1979,1977,2008,,,,,,,,,,
Guatemala,1992,2018,,,,,,,,,,,
Honduras,1998,2019,,,,,,,,,,,
Honduras,1991,1991,2016,2013,,,,,,,,,
Honduras,1994,2016,,,,,,,,,,,
Guatemala,2002,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
El Salvador,1990,1990,2003,,,,,,,,,,
Guatemala,1990,,,,,,,,,,,,
Venezuela,1968,,,,,,,,,,,,
Mexico,1996,1996,2000,1990,2013,2017,2015,2019,,,,,
Haiti,1998,1991,2019,,,,,,,,,,
Mexico,1986,1991,2016,2015,,,,,,,,,
Guatemala,1994,2020,,,,,,,,,,,
Honduras,1968,,,,,,,,,,,,
Mexico,2000,,,,,,,,,,,,
Honduras,1996,1999,,,,,,,,,,,
Mexico,1984,1989,2009,2007,2015,,,,,,,,
Honduras,1982,2003,2002,2008,,,,,,,,,
El Salvador,1977,,,,,,,,,,,,
Mexico,1996,2019,,,,,,,,,,,
Haiti,1989,1985,,,,,,,,,,,
Guatemala,1982,,,,,,,,,,,,
Mexico,1988,,,,,,,,,,,,
Guatemala,1991,,,,,,,,,,,,
Mexico,1988,,,,,,,,,,,,
El Salvador,1993,1981,,,,,,,,,,,
Guatemala,1984,1989,,,,,,,,,,,
Honduras,1984,1997,,,,,,,,,,,
Mexico,1999,1993,,,,,,,,,,,
Mexico,1980,,,,,,,,,,,,
Mexico,1992,,,,,,,,,,,,
Honduras,1999,2020,2017,,,,,,,,,,
Mexico,1982,2008,,,,,,,,,,,
Mexico,1984,1999,2003,2012,2006,,,,,,,,
El Salvador,1997,,,,,,,,,,,,
Honduras,2002,,,,,,,,,,,,
Haiti,1995,1991,2014,1982,,,,,,,,,
Haiti,1993,,,,,,,,,,,,
Honduras,1982,1990,2016,,,,,,,,,,
Haiti,1990,1987,,,,,,,,,,,
Mexico,1983,1990,1989,1981,2013,2012,2006,2018,2006,,,,
Guatemala,1971,1997,2017,,,,,,,,,,
Honduras,1999,1995,2017,,,,,,,,,,
Mexico,1989,2001,1949,,,,,,,,,,
Honduras,2000,2018,,,,,,,,,,,
Honduras,1999,1999,2019,,,,,,,,,,
Mexico,1998,2015,,,,,,,,,,,
Honduras,1986,2018,2013,,,,,,,,,,
Guatemala,1974,1990,2012,2009,,,,,,,,,
Mexico,1997,2017,2021,,,,,,,,,,
Guatemala,1992,1976,2014,,,,,,,,,,
Honduras,2001,1982,2016,,,,,,,,,,
Mexico,1996,2001,1988,2014,2017,2019,,,,,,,
Mexico,1955,,,,,,,,,,,,
El Salvador,1999,,,,,,,,,,,,
Honduras,1994,2015,,,,,,,,,,,
Mexico,1993,2011,2015,,,,,,,,,,
El Salvador,1967,2003,2008,,,,,,,,,,
Mexico,1986,2007,2013,2011,2017,,,,,,,,
El Salvador,1990,2019,2012,,,,,,,,,,
Honduras,1997,2021,,,,,,,,,,,
Guatemala,1981,1978,2016,,,,,,,,,,
Mexico,1996,1980,,,,,,,,,,,
Mexico,1991,2012,,,,,,,,,,,
Mexico,1977,2008,2006,2012,,,,,,,,,
Guatemala,1988,1987,2012,2015,,,,,,,,,
Haiti,1995,1994,1966,,,,,,,,,,
Guatemala,1998,2018,,,,,,,,,,,
Haiti,1987,1989,,,,,,,,,,,
Guatemala,1998,2018,2015,,,,,,,,,,
El Salvador,1986,1999,2013,,,,,,,,,,
Mexico,1995,1966,1966,1965,1986,2015,2016,2020,,,,,
Guatemala,1987,2015,,,,,,,,,,,
Haiti,1984,1986,2019,,,,,,,,,,
Haiti,1989,1979,2004,2018,,,,,,,,,
Mexico,1990,,,,,,,,,,,,
Guatemala,1994,,,,,,,,,,,,
Guatemala,1998,2016,2018,,,,,,,,,,
Mexico,1993,1990,2014,,,,,,,,,,
Haiti,1986,2019,,,,,,,,,,,
Honduras,1984,1989,2018,2015,2017,,,,,,,,
Mexico,1990,1993,1989,2020,2018,,,,,,,,
Honduras,1990,1989,2010,2021,2017,,,,,,,,
Mexico,1980,1982,2019,,,,,,,,,,
Haiti,1985,1984,,,,,,,,,,,
Haiti,1975,,,,,,,,,,,,
Mexico,1985,2002,2003,2018,2014,2020,,,,,,,
Mexico,1993,1994,2016,,,,,,,,,,
Mexico,1988,2010,2010,2007,,,,,,,,,
Guatemala,1978,,,,,,,,,,,,
Guatemala,1989,,,,,,,,,,,,
Haiti,1984,2018,,,,,,,,,,,
Guatemala,1997,2018,,,,,,,,,,,
Mexico,1999,1995,2020,,,,,,,,,,
Mexico,2003,,,,,,,,,,,,
Haiti,1983,1969,,,,,,,,,,,
Haiti,1987,1995,2014,,,,,,,,,,
Haiti,1996,,,,,,,,,,,,
Honduras,2004,2016,2019,,,,,,,,,,
Haiti,1990,1980,,,,,,,,,,,
Honduras,1983,1980,2011,2020,,,,,,,,,
Honduras,1978,2015,,,,,,,,,,,
El Salvador,1979,2007,,,,,,,,,,,
Mexico,1995,2013,2018,,,,,,,,,,
Honduras,1982,2009,,,,,,,,,,,
Honduras,1990,2018,,,,,,,,,,,
Honduras,1991,2012,2007,,,,,,,,,,
Honduras,1991,2012,2007,,,,,,,,,,
Mexico,1992,1992,2020,,,,,,,,,,
Guatemala,1996,2020,,,,,,,,,,,
El Salvador,1990,2023,,,,,,,,,,,
Mexico,1995,1983,2017,2011,2019,,,,,,,,
Haiti,1988,1981,2018,,,,,,,,,,
Haiti,1982,1973,2009,,,,,,,,,,
Haiti,1982,1973,2009,,,,,,,,,,
Mexico,1992,1990,2017,,,,,,,,,,
Guatemala,1992,,,,,,,,,,,,
Honduras,1988,2010,2018,,,,,,,,,,
Mexico,1978,1983,2015,2020,2012,2008,,,,,,,
Mexico,1985,1996,1980,1986,2014,2020,2018,2016,,,,,
Guatemala,1999,,,,,,,,,,,,
Honduras,1993,2018,,,,,,,,,,,
Haiti,1990,1988,,,,,,,,,,,
Mexico,1984,2009,2011,,,,,,,,,,
Haiti,1994,1993,2018,,,,,,,,,,
Haiti,1996,1993,2020,,,,,,,,,,
Haiti,1988,1988,,,,,,,,,,,
Guatemala,1991,2011,,,,,,,,,,,
Guatemala,1978,1991,2020,2015,2014,,,,,,,,
Mexico,1983,1978,2014,,,,,,,,,,
Honduras,1991,,,,,,,,,,,,
Mexico,1999,,,,,,,,,,,,
Honduras,1983,1994,2021,,,,,,,,,,
El Salvador,2003,1992,,,,,,,,,,,
Haiti,1993,1992,1995,1998,,,,,,,,,
El Salvador,1999,1999,2020,,,,,,,,,,
Haiti,1995,1993,2020,,,,,,,,,,
Mexico,1999,,,,,,,,,,,,
Haiti,1989,1995,,,,,,,,,,,
Mexico,1991,1990,2020,,,,,,,,,,
Haiti,1988,1987,2014,2020,,,,,,,,,
Haiti,1991,1981,2017,,,,,,,,,,
Guatemala,1989,2018,,,,,,,,,,,
Mexico,1998,1986,2000,1980,,,,,,,,,
Haiti,1987,1984,2019,,,,,,,,,,
Honduras,1971,1984,1976,2007,,,,,,,,,
Mexico,1973,1971,1987,2008,2010,2006,,,,,,,
Guatemala,1994,2019,,,,,,,,,,,
Honduras,1999,2021,2001,,,,,,,,,,
Honduras,1996,2017,2018,,,,,,,,,,
Haiti,1980,1976,2015,,,,,,,,,,
Haiti,1988,1989,1988,,,,,,,,,,
El Salvador,1993,2019,,,,,,,,,,,
Haiti,1989,2009,1976,1985,2018,,,,,,,,
Honduras,1995,2014,2016,,,,,,,,,,
Honduras,1989,2008,,,,,,,,,,,
Guatemala,1992,1996,1996,2017,,,,,,,,,
Haiti,1987,1996,,,,,,,,,,,
Haiti,1991,1983,2018,,,,,,,,,,
Haiti,1981,1987,2011,2007,2020,,,,,,,,
Honduras,1986,2001,2018,,,,,,,,,,
Honduras,1992,2020,,,,,,,,,,,
Honduras,1991,1996,2018,,,,,,,,,,
Haiti,1980,1981,2011,2018,,,,,,,,,
Haiti,1997,1990,2021,2019,1992,,,,,,,,
Haiti,1994,1993,,,,,,,,,,,
Haiti,1973,1965,,,,,,,,,,,
Haiti,1982,1994,2019,1997,,,,,,,,,
Honduras,1996,1993,2019,2021,,,,,,,,,
Ecuador,1970,,,,,,,,,,,,
Guatemala,1993,2019,,,,,,,,,,,
Honduras,1994,1995,2019,,,,,,,,,,
Mexico,1993,2017,2015,2018,,,,,,,,,
Honduras,1986,2016,,,,,,,,,,,
Honduras,1986,2016,,,,,,,,,,,
Honduras,1996,1995,2017,2019,,,,,,,,,
Honduras,2000,,,,,,,,,,,,
Honduras,1999,1996,2018,2013,,,,,,,,,
Mexico,1995,2011,2014,2013,,,,,,,,,
Mexico,1989,1993,2018,2016,,,,,,,,,
Haiti,1988,1990,2018,,,,,,,,,,
Guatemala,1998,2018,2015,,,,,,,,,,
Haiti,1995,1995,2020,,,,,,,,,,
Guatemala,2002,,,,,,,,,,,,
Mexico,1996,2015,2018,,,,,,,,,,
Honduras,1989,1977,2014,2018,,,,,,,,,
Honduras,1995,1998,2020,,,,,,,,,,
El Salvador,1985,2018,,,,,,,,,,,
Honduras,2001,1995,1994,2010,2018,2014,,,,,,,
Mexico,1982,1972,2002,2008,2003,,,,,,,,
Haiti,1984,1987,2019,2020,,,,,,,,,
Haiti,1992,,,,,,,,,,,,
Haiti,1990,1983,2020,2009,2009,,,,,,,,
Haiti,1983,1978,1984,,,,,,,,,,
Honduras,1989,1994,2015,2014,,,,,,,,,
Haiti,1983,1986,,,,,,,,,,,
Honduras,1991,2015,,,,,,,,,,,
Mexico,1992,,,,,,,,,,,,
Honduras,1982,2014,,,,,,,,,,,
Honduras,1975,2011,,,,,,,,,,,
Honduras,1992,2004,,,,,,,,,,,
Haiti,1992,1986,2013,,,,,,,,,,
Honduras,1997,2019,,,,,,,,,,,
Haiti,1989,1992,2019,1992,,,,,,,,,
Haiti,1981,1979,2018,,,,,,,,,,
Haiti,1995,1988,2018,,,,,,,,,,
Haiti,1999,1991,,,,,,,,,,,
Haiti,1982,1968,1992,1986,2017,2014,,,,,,,
Haiti,1985,2005,2010,2007,,,,,,,,,
Haiti,1989,1994,2018,,,,,,,,,,
Mexico,1994,,,,,,,,,,,,
Haiti,1986,1994,1996,,,,,,,,,,
Haiti,1983,1985,2014,2019,,,,,,,,,
Haiti,1990,1987,1974,2012,,,,,,,,,
Haiti,1998,1994,2017,2020,,,,,,,,,
Haiti,1989,1996,2020,,,,,,,,,,
Honduras,1992,1998,2008,2010,,,,,,,,,
El Salvador,1991,2018,,,,,,,,,,,
Haiti,1971,1979,,,,,,,,,,,
Haiti,1987,1986,2014,2019,,,,,,,,,
Haiti,1992,1979,,,,,,,,,,,
Haiti,1989,1975,2018,2007,,,,,,,,,
Haiti,1988,1994,1999,2008,1988,,,,,,,,
Honduras,1995,2017,,,,,,,,,,,
Haiti,1990,1981,1990,1972,2015,,,,,,,,
Haiti,1986,1985,2019,1997,,,,,,,,,
Haiti,1991,1989,2021,,,,,,,,,,
Haiti,1988,1987,2019,2016,2019,,,,,,,,
Haiti,1987,1987,1990,1991,1989,2019,2008,,,,,,
Guatemala,1986,2015,,,,,,,,,,,
Honduras,1968,2016,2016,,,,,,,,,,
Haiti,1986,1996,1998,,,,,,,,,,
Haiti,1980,1983,,,,,,,,,,,
Honduras,1983,1992,2017,,,,,,,,,,
El Salvador,1996,2013,,,,,,,,,,,
Haiti,1993,1994,2019,,,,,,,,,,
Mexico,1994,2014,2012,,,,,,,,,,
Mexico,1994,1994,2016,,,,,,,,,,
Mexico,1992,2011,2017,2012,,,,,,,,,
Guatemala,1988,,,,,,,,,,,,
Mexico,1985,2013,,,,,,,,,,,
Mexico,1999,2001,2020,,,,,,,,,,
Honduras,1988,2015,2009,,,,,,,,,,
Guatemala,1996,,,,,,,,,,,,
Honduras,1989,2013,2018,2009,,,,,,,,,
Haiti,1994,1984,2019,1988,,,,,,,,,
Haiti,1983,1986,2016,,,,,,,,,,
Mexico,1992,2017,2010,2018,,,,,,,,,
Mexico,1980,2008,,,,,,,,,,,
Haiti,2003,,,,,,,,,,,,
Honduras,1992,2014,,,,,,,,,,,
Honduras,1993,1994,2016,,,,,,,,,,
Haiti,1980,1986,2018,,,,,,,,,,
Haiti,1989,1984,2010,2017,,,,,,,,,
Haiti,1994,2016,1996,2996,,,,,,,,,
Haiti,1982,1987,,,,,,,,,,,
Haiti,1999,1995,1988,1992,1987,2019,,,,,,,
Haiti,1982,1989,1993,2018,,,,,,,,,
Haiti,1993,1995,2018,2020,,,,,,,,,
Honduras,1989,2014,2009,,,,,,,,,,
Haiti,1994,1981,1991,1989,1997,1978,,,,,,,
Haiti,1991,1994,2020,1995,1992,1988,1989,,,,,,
Haiti,1982,1976,1982,1993,1993,1974,1975,,,,,,
Mexico,1982,2006,,,,,,,,,,,
Haiti,1989,1983,1993,2020,,,,,,,,,
Haiti,1990,1984,2012,2012,,,,,,,,,
Haiti,1981,1978,2018,2017,2010,,,,,,,,
Mexico,1975,1975,2012,,,,,,,,,,
Mexico,1995,2015,,,,,,,,,,,
Haiti,1972,1965,2011,1981,2014,2000,2018,,,,,,
Honduras,1985,2011,2020,2015,2000,,,,,,,,
Honduras,1987,2016,,,,,,,,,,,
Honduras,1998,2017,,,,,,,,,,,
Haiti,1967,,,,,,,,,,,,
Haiti,1988,1991,1983,1981,2009,2018,2014,,,,,,
Honduras,1998,2017,,,,,,,,,,,
Haiti,1985,1994,2018,,,,,,,,,,
Haiti,1998,1992,2019,,,,,,,,,,
Mexico,1983,2003,2013,,,,,,,,,,
Honduras,1985,1992,1992,2013,2011,2015,2008,,,,,,
Guatemala,1989,2012,,,,,,,,,,,
Haiti,1991,1991,,,,,,,,,,,
Haiti,1989,,,,,,,,,,,,
Haiti,1981,,,,,,,,,,,,
Haiti,1995,2001,,,,,,,,,,,
Haiti,1982,1986,2013,,,,,,,,,,
Guatemala,1993,1994,2011,2016,,,,,,,,,
Haiti,1983,1998,1986,1990,2019,1988,1983,1991,1993,,,,
Haiti,1988,1983,2021,2018,1989,1990,1979,1986,,,,,
Mexico,1997,1993,2017,2020,2017,,,,,,,,
Guatemala,1996,2017,,,,,,,,,,,
Honduras,1994,2013,,,,,,,,,,,
Honduras,1989,2017,2014,,,,,,,,,,
Haiti,1990,1989,1975,1976,2020,1984,,,,,,,
Russia,1977,,,,,,,,,,,,
Honduras,1984,1976,2007,,,,,,,,,,
Haiti,1996,1992,1994,1994,2011,1975,1995,2018,1991,1993,1998,1990,2016
Haiti,1990,1988,1990,1984,1994,1995,2021,1994,1995,,,,
Haiti,1988,2019,2019,1992,1989,1992,1990,,,,,,
Honduras,1996,1994,2016,2019,2014,,,,,,,,
Haiti,1983,2009,1975,1974,1989,1999,,,,,,,
Haiti,1979,2019,1992,1989,1988,1987,1982,,,,,,
Venezuela,1997,1999,,,,,,,,,,,
Haiti,1983,1976,1986,1989,1982,,,,,,,,
Haiti,1992,1984,1992,1990,,,,,,,,,
Haiti,1993,1991,2018,1990,1985,,,,,,,,
Haiti,1994,2018,1995,1992,1992,1995,1995,,,,,,
Haiti,1985,1991,1994,2018,,,,,,,,,
Haiti,1983,1994,1988,1982,1985,1993,2018,1985,2015,1996,2008,2011,1995
Honduras,1982,2019,2013,,,,,,,,,,
Haiti,1997,1992,1994,2020,2018,1990,1996,,,,,,
Haiti,1986,1991,1974,1994,1974,2005,2007,1982,,,,,
Haiti,1992,1987,1992,1999,1994,2017,1989,,,,,,
Haiti,1994,1995,2019,1993,1991,,,,,,,,
Haiti,1988,1988,2016,2013,2011,1984,,,,,,,
Haiti,1975,1977,2020,1975,1974,1998,1991,1974,,,,,
Peru,1995,2005,1992,1973,1996,,,,,,,,
Haiti,1987,1989,,,,,,,,,,,
Haiti,1979,1988,2014,1987,1992,1983,1977,,,,,,
Mexico,1995,2015,,,,,,,,,,,
Haiti,1993,1991,1982,1995,1993,,,,,,,,
Mexico,1994,2012,2014,,,,,,,,,,
Haiti,2001,1993,2020,,,,,,,,,,
Haiti,1982,1982,2006,2010,,,,,,,,,
Haiti,1989,1993,2020,1993,,,,,,,,,
Haiti,1999,1967,1999,2021,,,,,,,,,
Haiti,1991,1995,1973,1992,1995,2020,,,,,,,
Mexico,1981,1989,1988,2000,2022,,,,,,,,
El Salvador,1981,2016,,,,,,,,,,,
Mexico,1993,2021,2014,,,,,,,,,,
Mexico,1989,1991,2015,2014,2006,,,,,,,,
,,,,,,,,,,,,,
Haiti,1986,1988,,,,,,,,,,,
Honduras,1992,1996,2021,2015,,,,,,,,,
Honduras,1972,2004,2013,2006,,,,,,,,,
Honduras,1992,1994,2021,2016,,,,,,,,,
Honduras,1989,2016,2010,2018,2006,,,,,,,,
Honduras,1992,2017,2013,,,,,,,,,,
Honduras,1996,2015,,,,,,,,,,,
Honduras,1987,2020,,,,,,,,,,,
Haiti,1988,2019,1979,1995,,,,,,,,,
Haiti,1990,1998,2021,1993,1983,,,,,,,,
Haiti,1975,1988,2015,2013,,,,,,,,,
Honduras,1986,2005,,,,,,,,,,,
Haiti,1978,1990,1988,1990,,,,,,,,,
Haiti,1986,1995,1975,1971,1995,,,,,,,,
Haiti,1990,2018,2018,1985,1986,,,,,,,,
Haiti,1989,1981,2017,2019,,,,,,,,,
Haiti,1993,1991,,,,,,,,,,,
Haiti,1991,1994,2019,1978,1993,1996,,,,,,,
Haiti,1989,1997,2000,1991,1994,1988,,,,,,,
Haiti,1991,1988,1986,1974,2019,1997,,,,,,,
Honduras,1993,1984,2016,2022,,,,,,,,,
Haiti,1985,1979,2018,,,,,,,,,,
Haiti,1993,1985,2018,,,,,,,,,,
Haiti,1984,1992,2021,1968,,,,,,,,,
Haiti,1986,1978,2018,,,,,,,,,,
Haiti,1992,1995,1988,2020,2016,1996,,,,,,,
Haiti,1989,1972,1965,1987,,,,,,,,,
Mexico,1990,2015,,,,,,,,,,,
El Salvador,1995,2020,2017,,,,,,,,,,
Haiti,1981,1991,1983,1998,1994,,,,,,,,
Haiti,1997,1995,2021,1988,2019,1993,,,,,,,
Haiti,1988,1994,2016,2020,,,,,,,,,
Honduras,2002,1993,2022,,,,,,,,,,
Haiti,1978,2004,1989,1986,2006,2001,,,,,,,
Haiti,1974,1994,1992,1989,1988,,,,,,,,
Guatemala,2002,,,,,,,,,,,,
Guatemala,2000,2022,,,,,,,,,,,
Haiti,1999,1991,1994,1992,1996,,,,,,,,
Haiti,1999,1980,1995,1984,2006,,,,,,,,
Mexico,1990,2017,2011,2010,,,,,,,,,
Haiti,1982,1982,2017,2004,,,,,,,,,
Haiti,1991,1960,1992,1992,1995,1988,,,,,,,
Haiti,1985,1988,1989,1989,1994,1999,1995,1989,1988,,,,
Haiti,1985,2016,1980,1978,,,,,,,,,
Haiti,1995,1990,1990,2018,1985,,,,,,,,
Haiti,1980,1986,1982,1984,,,,,,,,,
Haiti,1991,,,,,,,,,,,,
Haiti,1999,,,,,,,,,,,,
Haiti,1982,2020,2006,1979,1989,,,,,,,,
Haiti,1983,,,,,,,,,,,,
Haiti,1989,1982,1993,1974,1985,1984,1978,,,,,,
Haiti,1989,1982,2012,,,,,,,,,,
Haiti,1980,1992,1989,1995,2012,1983,1975,,,,,,
Honduras,1995,2018,,,,,,,,,,,
Haiti,1984,2005,2020,1979,,,,,,,,,
Haiti,1986,1982,2015,2019,,,,,,,,,
Haiti,1988,1996,2021,2021,1980,1993,1996,1994,1983,,,,
Honduras,1990,1996,2016,,,,,,,,,,
Haiti,1992,1995,1988,1991,,,,,,,,,
Haiti,1989,1991,2021,1984,2002,1988,1982,,,,,,
Haiti,1984,1989,,2017,,,,,,,,,
Haiti,1984,1988,1992,2018,1982,1987,1992,,,,,,
Haiti,1976,,,,,,,,,,,,
Haiti,1982,1981,1983,1976,,,,,,,,,
Haiti,1987,1984,1994,2020,1989,,,,,,,,
Haiti,1995,1991,2019,,,,,,,,,,
Haiti,1993,1991,2018,,,,,,,,,,
Haiti,1992,1992,2018,1990,1991,,,,,,,,
Haiti,1982,1986,1987,1985,,,,,,,,,
